TA,0+54+61+62
TA123254,54
TA123255,54
TA123256,54
TA123257,0+54
TA124250,54
TA124251,54
TA124252,54
TA124253,54
TA124254,54
TA124255,54
TA124256,54
TA124257,0+54
TA125250,54
TA125251,54
TA125252,54
TA125253,54
TA125254,54
TA125255,54
TA125256,54
TA125257,0+54
TA126250,54
TA126251,54
TA126252,54
TA126253,54
TA126254,54
TA126255,54
TA126256,54
TA126257,0+54
TA127250,54
TA127251,54
TA127252,54
TA127253,54
TA127254,54
TA127255,54
TA127256,54
TA127257,0+54
TA128250,54
TA128251,54
TA128252,54
TA128253,54
TA128254,54
TA128255,54
TA128256,54
TA128257,0+54
TA128258,0+54
TA129250,54
TA129251,54
TA129252,54
TA129253,54
TA129254,54
TA129255,54
TA129256,54
TA129257,54
TA129258,0+54
TA1324,0+54
TA130240,54
TA130241,54
TA130242,54
TA130243,54
TA130244,54
TA130245,54
TA130246,54
TA130247,54
TA130248,54
TA130249,54
TA131240,54
TA131241,54
TA131242,54
TA131243,54
TA131244,54
TA131245,54
TA131246,54
TA131247,54
TA131248,54
TA131249,54
TA132240,54
TA132241,54
TA132242,54
TA132243,54
TA132244,54
TA132245,54
TA132246,54
TA132247,54
TA132248,54
TA132249,54
TA133240,54
TA133241,54
TA133242,54
TA133243,54
TA133244,54
TA133245,54
TA133246,54
TA133247,54
TA133248,54
TA133249,54
TA134240,54
TA134241,54
TA134242,54
TA134243,54
TA134244,54
TA134245,54
TA134246,54
TA134247,54
TA134248,54
TA134249,54
TA135240,54
TA135241,54
TA135242,54
TA135243,54
TA135244,54
TA135245,54
TA135246,54
TA135247,54
TA135248,54
TA135249,54
TA136240,54
TA136241,54
TA136242,54
TA136243,54
TA136244,54
TA136245,54
TA136246,54
TA136247,54
TA136248,54
TA136249,54
TA137240,54
TA137241,54
TA137242,54
TA137243,54
TA137244,54
TA137245,54
TA137246,54
TA137247,54
TA137248,54
TA137249,54
TA138240,54
TA138241,54
TA138242,54
TA138243,54
TA138244,54
TA138245,54
TA138246,54
TA138247,54
TA138248,54
TA138249,54
TA139240,54
TA139241,54
TA139242,54
TA139243,54
TA139244,54
TA139245,54
TA139246,54
TA139247,54
TA139248,0+54
TA139249,0+54
TA1325,0+54
TA130250,54
TA130251,54
TA130252,54
TA130253,54
TA130254,54
TA130255,54
TA130256,54
TA130257,54
TA130258,0+54
TA131250,54
TA131251,54
TA131252,54
TA131253,54
TA131254,54
TA131255,54
TA131256,54
TA131257,54
TA131258,0+54
TA132250,54
TA132251,54
TA132252,54
TA132253,54
TA132254,54
TA132255,54
TA132256,54
TA132257,54
TA132258,0+54
TA133250,54
TA133251,54
TA133252,54
TA133253,54
TA133254,54
TA133255,54
TA133256,54
TA133257,54
TA133258,0+54
TA133259,0+54
TA134250,54
TA134251,54
TA134252,54
TA134253,54
TA134254,54
TA134255,54
TA134256,54
TA134257,0+54
TA134258,0+54
TA135250,54
TA135251,54
TA135252,54
TA135253,54
TA135254,0+54
TA135255,0+54
TA135256,0+54
TA135257,0+54
TA136250,54
TA136251,54
TA136252,0+54
TA136253,0+54
TA136254,0+54
TA137250,54
TA137251,0+54
TA137252,0+54
TA138250,0+54
TA138251,0+54
TA139250,0+54
TA12K,0+54
TA1420,54
TA1421,54
TA1520,54
TA1521,0+54
TA150210,54
TA150211,54
TA150212,54
TA150213,54
TA150214,54
TA150215,54
TA150216,54
TA150217,54
TA150218,54
TA150219,54
TA151210,54
TA151211,54
TA151212,54
TA151213,54
TA151214,54
TA151215,54
TA151216,54
TA151217,54
TA151218,54
TA151219,54
TA152210,54
TA152211,54
TA152212,54
TA152213,54
TA152214,54
TA152215,54
TA152216,54
TA152217,54
TA152218,54
TA152219,54
TA153210,54
TA153211,54
TA153212,54
TA153213,54
TA153214,54
TA153215,54
TA153216,54
TA153217,54
TA153218,54
TA153219,0+54
