NR,0+98+100+101+102
NR619066,101
NR619067,101
NR619068,101
NR619069,101
NR6107,101
NR60E,101
NR60H,0+101
NR6205,0+101
NR620058,0+101
NR620059,0+101
NR621058,0+101
NR621059,0+101
NR622059,0+101
NR623058,0+101
NR623059,0+101
NR624058,0+101
NR624059,0+101
NR625059,0+101
NR626059,0+101
NR627059,0+101
NR628059,0+101
NR6305,0+101
NR630059,0+101
NR631059,0+101
NR632059,0+101
NR60I,0+101
NR6206,0+101
NR620060,101
NR620061,101
NR620062,101
NR620063,101
NR620064,101
NR620065,101
NR620066,101
NR620067,101
NR620068,101
NR620069,101
NR621060,101
NR621061,101
NR621062,101
NR621063,101
NR621064,101
NR621065,101
NR621066,101
NR621067,101
NR621068,101
NR621069,101
NR622060,101
NR622061,101
NR622062,101
NR622063,101
NR622064,101
NR622065,101
NR622066,101
NR622067,101
NR622068,101
NR622069,101
NR623060,101
NR623061,101
NR623062,101
NR623063,101
NR623064,101
NR623065,101
NR623066,101
NR623067,101
NR623068,101
NR623069,101
NR624060,101
NR624061,101
NR624062,101
NR624063,101
NR624064,101
NR624065,101
NR624066,101
NR624067,101
NR624068,101
NR624069,101
NR625060,101
NR625061,101
NR625062,101
NR625063,101
NR625064,101
NR625065,101
NR625066,101
NR625067,101
NR625068,101
NR625069,101
NR626060,0+101
NR626061,101
NR626062,101
NR626063,101
NR626064,101
NR626065,101
NR626066,101
NR626067,101
NR626068,101
NR626069,101
NR627060,0+101
NR627061,101
NR627062,101
NR627063,101
NR627064,101
NR627065,101
NR627066,101
NR627067,101
NR627068,101
NR627069,101
NR628060,0+101
NR628061,101
NR628062,101
NR628063,101
NR628064,101
NR628065,101
NR628066,101
NR628067,101
NR628068,101
NR628069,101
NR629060,0+101
NR629061,101
NR629062,101
NR629063,101
NR629064,101
NR629065,101
NR629066,101
NR629067,101
NR629068,101
NR629069,101
NR6207,101
NR6306,0+101
NR630060,0+101
NR630061,101
NR630062,101
NR630063,101
NR630064,101
NR630065,101
NR630066,101
NR630067,101
NR630068,101
NR630069,101
NR631060,101
NR631061,101
NR631062,101
NR631063,101
NR631064,101
NR631065,101
NR631066,101
NR631067,101
NR631068,101
NR631069,101
NR632060,0+101
NR632061,101
NR632062,101
NR632063,101
NR632064,101
NR632065,101
NR632066,101
NR632067,101
NR632068,101
NR632069,101
NR633060,0+101
NR633061,101
NR633062,101
NR633063,101
NR633064,101
NR633065,101
NR633066,101
NR633067,101
NR633068,101
NR633069,101
NR634060,0+101
NR634061,101
NR634062,101
NR634063,101
NR634064,101
NR634065,101
NR634066,101
NR634067,101
NR634068,101
NR634069,101
NR635060,0+101
NR635061,101
NR635062,101
NR635063,101
NR635064,101
NR635065,101
NR635066,101
NR635067,101
NR635068,101
NR635069,101
NR636060,0+101
NR636061,101
NR636062,101
NR636063,101
NR636064,101
NR636065,101
NR636066,101
NR636067,101
NR636068,101
NR636069,101
NR637060,0+101
NR637061,0+101
NR637062,101
NR637063,101
NR637064,101
NR637065,101
NR637066,101
NR637067,101
NR637068,101
NR637069,101
NR638061,0+101
NR638062,101
NR638063,101
NR638064,101
NR638065,101
NR638066,101
NR638067,101
NR638068,101
NR638069,101
NR639061,0+101
NR639062,0+101
NR639063,101
NR639064,101
NR639065,101
NR639066,101
NR639067,101
NR639068,101
NR639069,101
NR6307,101
NR60J,101
NR60N,0+101
NR6406,0+101
NR640062,0+101
NR640063,101
NR640064,101
NR640065,101
NR640066,101
NR640067,101
NR640068,101
NR640069,101
NR641062,0+101
NR641063,0+101
NR641064,101
NR641065,101
NR641066,101
NR641067,101
NR641068,101
NR641069,101
NR642063,0+101
NR642064,0+101
NR642065,101
NR642066,101
NR642067,101
NR642068,101
NR642069,101
NR643064,0+101
NR643065,0+101
NR643066,0+101
NR643067,101
NR643068,101
NR643069,101
NR644066,0+101
NR644067,0+101
NR644068,101
NR644069,101
NR645067,0+101
NR645068,0+101
NR645069,101
NR646067,0+101
NR646068,0+101
NR646069,101
NR647068,0+101
NR647069,101
NR648068,0+101
NR648069,0+101
NR649069,0+101
NR6407,101
NR6506,0+101
NR650069,0+101
NR6507,0+101
NR650070,0+101
NR650071,101
NR650072,101
NR650073,101
NR650074,101
NR650075,101
NR650076,101
NR650077,101
NR650078,101
NR650079,101
NR651070,0+101
NR651071,0+101
NR651072,0+101
NR651073,101
NR651074,101
NR651075,101
NR651076,101
NR651077,101
NR651078,101
NR651079,101
NR652072,0+101
NR652073,101
NR652074,101
NR652075,101
NR652076,101
NR652077,101
NR652078,101
NR652079,101
NR653071,0+101
NR653072,0+101
NR653073,101
NR653074,101
NR653075,101
NR653076,101
NR653077,101
NR653078,101
NR653079,101
NR654071,0+101
NR654072,0+101
NR654073,101
NR654074,101
NR654075,101
NR654076,101
NR654077,101
NR654078,101
NR654079,101
NR655071,0+101
NR655072,0+101
NR655073,101
NR655074,101
NR655075,101
NR655076,101
NR655077,101
NR655078,101
NR655079,101
NR656071,0+101
NR656072,0+101
NR656073,0+101
NR656074,101
NR656075,101
NR656076,101
NR656077,101
NR656078,101
NR656079,101
NR657071,0+101
NR657073,0+101
NR657074,101
NR657075,101
NR657076,101
NR657077,101
NR657078,101
NR657079,101
NR658073,0+101
NR658074,0+101
NR658075,0+101
NR658076,101
NR658077,101
NR658078,101
NR658079,101
NR659075,0+101
NR659076,0+101
NR659077,101
NR659078,101
NR659079,101
NR60P,101
NR60T,0+101
NR6607,0+101
NR660076,0+101
NR660077,0+101
NR660078,101
NR660079,101
NR661077,0+101
NR661078,101
NR661079,101
NR662077,0+101
NR662078,101
NR662079,101
NR663077,0+101
NR663078,101
NR663079,101
NR664077,0+101
NR664078,101
NR664079,101
NR665077,0+101
NR665078,101
NR665079,101
NR666077,0+101
NR666078,101
NR666079,101
NR667077,0+101
NR667078,101
NR667079,101
NR668077,0+101
NR668078,101
NR668079,101
NR669076,0+101
NR669077,0+101
NR669078,101
NR669079,101
NR6707,0+101
NR670075,0+101
NR670076,0+101
NR670077,101
NR670078,101
NR670079,101
NR671075,0+101
NR671076,0+101
NR671077,101
NR671078,101
NR671079,101
NR672075,0+101
NR672076,0+101
NR672077,101
NR672078,101
NR672079,101
NR673075,0+101
NR673076,0+101
NR673077,101
NR673078,101
NR673079,101
NR674076,0+101
NR674077,101
NR674078,101
NR674079,101
NR675076,0+101
NR675077,101
NR675078,101
NR675079,101
NR676076,0+101
NR676077,0+101
NR676078,101
NR676079,101
NR677077,0+101
NR677078,101
NR677079,101
NR678077,0+101
NR678078,0+101
NR678079,101
NR679077,0+101
NR679078,101
NR679079,101
NR60U,101
NR60Y,0+101
NR6807,0+101
NR680076,0+101
NR680077,0+101
NR680078,101
NR680079,101
NR681077,0+101
NR681078,0+101
NR681079,101
NR682078,0+101
NR682079,101
NR683078,0+101
NR683079,101
NR684078,0+101
NR684079,101
NR685078,0+101
NR685079,101
NR686074,0+101
NR686075,0+101
NR686077,0+101
NR686078,0+101
NR686079,101
NR687074,0+101
NR687075,0+101
NR687076,0+101
NR687077,0+101
NR687078,101
NR687079,101
NR688074,0+101
NR688075,0+101
NR688076,101
NR688077,101
NR688078,101
NR688079,101
NR689074,0+101
NR689075,0+101
NR689076,0+101
NR689077,101
NR689078,101
NR689079,101
NR6907,0+101
NR690075,0+101
NR690076,0+101
NR690077,101
NR690078,101
NR690079,101
NR691076,0+101
NR691077,101
NR691078,101
NR691079,101
NR692076,0+101
NR692077,101
NR692078,101
NR692079,101
NR693076,0+101
NR693077,101
NR693078,101
NR693079,101
NR694076,0+101
NR694077,101
NR694078,101
NR694079,101
NR695076,0+101
NR695077,101
NR695078,101
NR695079,101
NR696076,0+101
NR696077,101
NR696078,101
NR696079,101
NR697075,0+101
NR697076,0+101
NR697077,101
NR697078,101
NR697079,101
NR698075,0+101
NR698076,101
NR698077,101
NR698078,101
NR698079,101
NR699074,0+101
NR699075,0+101
NR699076,101
NR699077,101
NR699078,101
NR699079,101
NR60Z,101
NR61,0+101
NR61SW,101
NR61NW,0+101
NR61SE,101
NR61NE,101
NR61A,101
NR61B,101
NR61C,101
NR61D,0+101
NR6016,101
NR6017,0+101
NR600170,101
NR600171,101
NR600172,101
NR600173,101
NR600174,101
NR600175,101
NR600176,101
NR600177,101
NR600178,0+101
NR600179,0+101
NR601170,101
NR601171,101
NR601172,101
NR601173,101
NR601174,101
NR601175,101
NR601176,101
NR601177,101
NR601178,101
NR601179,0+101
NR602170,101
NR602171,101
NR602172,101
NR602173,101
NR602174,101
NR602175,101
NR602176,101
NR602177,101
NR602178,101
NR602179,101
NR603170,101
NR603171,101
NR603172,101
NR603173,101
NR603174,101
NR603175,101
NR603176,101
NR603177,101
NR603178,101
NR603179,101
NR604170,101
NR604171,101
NR604172,101
NR604173,101
NR604174,101
NR604175,101
NR604176,101
NR604177,101
NR604178,101
NR604179,101
NR605170,101
NR605171,101
NR605172,101
NR605173,101
NR605174,101
NR605175,101
NR605176,101
NR605177,101
NR605178,101
NR605179,101
NR606170,101
NR606171,101
NR606172,101
NR606173,101
NR606174,101
NR606175,101
NR606176,101
NR606177,101
NR606178,101
NR606179,101
NR607170,101
NR607171,101
NR607172,101
NR607173,101
NR607174,101
NR607175,101
NR607176,101
NR607177,101
NR607178,101
NR607179,101
NR608170,101
NR608171,101
NR608172,101
NR608173,101
NR608174,101
NR608175,101
NR608176,101
NR608177,101
NR608178,101
NR608179,101
