NT,0+67+68+72+77+78+79+80+81+82+83+84+85+87
NT257064,72+79
NT257065,72+79
NT257066,79
NT257067,79
NT257068,79
NT257069,79
NT258064,72+79
NT258065,72+79
NT258066,79
NT258067,79
NT258068,79
NT258069,79
NT259065,72+79
NT259066,79
NT259067,79
NT259068,79
NT259069,79
NT2507,72+79
NT251074,72+79
NT251075,72+79
NT251076,72+79
NT251077,72+79
NT251078,72+79
NT252071,72+79
NT252072,72+79
NT252073,72+79
NT252074,72+79
NT252075,79
NT252076,79
NT252077,79
NT252078,72+79
NT252079,72+79
NT253070,72+79
NT253071,72+79
NT253072,79
NT253073,79
NT253074,79
NT253075,79
NT253076,79
NT253077,79
NT253078,79
NT253079,72+79
NT254070,79
NT254071,79
NT254072,79
NT254073,79
NT254074,79
NT254075,79
NT254076,79
NT254077,79
NT254078,79
NT254079,79
NT255070,79
NT255071,79
NT255072,79
NT255073,79
NT255074,79
NT255075,79
NT255076,79
NT255077,79
NT255078,79
NT255079,79
NT256070,79
NT256071,79
NT256072,79
NT256073,79
NT256074,79
NT256075,79
NT256076,79
NT256077,79
NT256078,79
NT256079,79
NT257070,79
NT257071,79
NT257072,79
NT257073,79
NT257074,79
NT257075,79
NT257076,79
NT257077,79
NT257078,79
NT257079,79
NT258070,79
NT258071,79
NT258072,79
NT258073,79
NT258074,79
NT258075,79
NT258076,79
NT258077,79
NT258078,79
NT258079,79
NT259070,79
NT259071,79
NT259072,79
NT259073,79
NT259074,79
NT259075,79
NT259076,79
NT259077,79
NT259078,79
NT259079,79
NT20P,72+79
NT2408,72+79
NT240086,72+79
NT240087,79
NT240088,79
NT240089,79
NT241086,72+79
NT241087,72+79
NT241088,79
NT241089,79
NT242087,72+79
NT242088,79
NT242089,79
NT243086,72+79
NT243087,72+79
NT243088,79
NT243089,79
NT244085,72+79
NT244086,72+79
NT244087,79
NT244088,79
NT244089,79
NT245084,72+79
NT245085,72+79
NT245086,79
NT245087,79
NT245088,79
NT245089,79
NT246082,72+79
NT246083,72+79
NT246084,72+79
NT246085,79
NT246086,79
NT246087,79
NT246088,79
NT246089,79
NT247082,72+79
NT247083,79
NT247084,79
NT247085,79
NT247086,79
NT247087,79
NT247088,79
NT247089,79
NT248082,72+79
NT248083,79
NT248084,79
NT248085,79
NT248086,79
NT248087,79
NT248088,79
NT248089,79
NT249081,72+79
NT249082,72+79
NT249083,79
NT249084,79
NT249085,79
NT249086,79
NT249087,79
NT249088,79
NT249089,79
NT2409,79
NT2508,72+79
NT250081,72+79
NT250082,79
NT250083,79
NT250084,79
NT250085,79
NT250086,79
NT250087,79
NT250088,79
NT250089,79
NT251080,72+79
NT251081,72+79
NT251082,79
NT251083,79
NT251084,79
NT251085,79
NT251086,79
NT251087,79
NT251088,79
NT251089,79
NT252080,72+79
NT252081,79
NT252082,79
NT252083,79
NT252084,79
NT252085,79
NT252086,79
NT252087,79
NT252088,79
NT252089,79
NT253080,72+79
NT253081,79
NT253082,79
NT253083,79
NT253084,79
NT253085,79
NT253086,79
NT253087,79
NT253088,79
NT253089,79
NT254080,79
NT254081,79
NT254082,79
NT254083,79
NT254084,79
NT254085,79
NT254086,79
NT254087,79
NT254088,79
NT254089,79
NT255080,79
NT255081,79
NT255082,79
NT255083,79
NT255084,79
NT255085,79
NT255086,79
NT255087,79
NT255088,79
NT255089,79
NT256080,79
NT256081,79
NT256082,79
NT256083,79
