ST,0+3+4+5+6+7+8+9+33+34+35+41
ST065171,4
ST065172,4
ST065173,4
ST065174,4
ST065175,4
ST065176,4
ST065177,4
ST065178,4
ST065179,4
ST066170,4
ST066171,4
ST066172,4
ST066173,4
ST066174,4
ST066175,4
ST066176,4
ST066177,4
ST066178,4
ST066179,4
ST067170,4
ST067171,4
ST067172,4
ST067173,4
ST067174,4
ST067175,4
ST067176,4
ST067177,4
ST067178,4
ST067179,4
ST068170,4
ST068171,4
ST068172,4
ST068173,4
ST068174,4
ST068175,4
ST068176,4
ST068177,4
ST068178,4
ST068179,4
ST069170,3+4
ST069171,3+4
ST069172,3+4
ST069173,4
ST069174,4
ST069175,4
ST069176,4
ST069177,4
ST069178,4
ST069179,4
ST0716,3
ST0717,3+4
ST070170,3
ST070171,3
ST070172,3+4
ST070173,3+4
ST070174,3+4
ST070175,3+4
ST070176,3+4
ST070177,3+4
ST070178,3+4
ST070179,3+4
ST071170,3
ST071171,3
ST071172,3
ST071173,3
ST071174,3
ST071175,3
ST071176,3
ST071177,3
ST071178,3
ST071179,3+4
ST072170,3
ST072171,3
ST072172,3
ST072173,3
ST072174,3
ST072175,3
ST072176,3
ST072177,3
ST072178,3
ST072179,3
ST073170,3
ST073171,3
ST073172,3
ST073173,3
ST073174,3
ST073175,3
ST073176,3
ST073177,3
ST073178,3
ST073179,3
ST074170,3
ST074171,3
ST074172,3
ST074173,3
ST074174,3
ST074175,3
ST074176,3
ST074177,3
ST074178,3
ST074179,3
ST075170,3
ST075171,3
ST075172,3
ST075173,3
ST075174,3
ST075175,3
ST075176,3
ST075177,3
ST075178,3
ST075179,3
ST076170,3
ST076171,3
ST076172,3
ST076173,3
ST076174,3
ST076175,3
ST076176,3
ST076177,3
ST076178,3
ST076179,3
ST077170,3
ST077171,3
ST077172,3
ST077173,3
ST077174,3
ST077175,3
ST077176,3
ST077177,3
ST077178,3
ST077179,3
ST078170,3
ST078171,3
ST078172,3
ST078173,3
ST078174,3
ST078175,3
ST078176,3
ST078177,3
ST078178,3
ST078179,3
ST079170,3
ST079171,3
ST079172,3
ST079173,3
ST079174,3
ST079175,3
ST079176,3
ST079177,3
ST079178,3
ST079179,3
ST01U,3+4+5
ST0618,4
ST0619,4
ST0718,3+4
ST070180,4
ST070181,4
ST070182,4
ST070183,4
ST070184,4
ST070185,4
ST070186,4
ST070187,4
ST070188,3+4
ST070189,3+4
ST071180,3+4
ST071181,3+4
ST071182,3+4
ST071183,3+4
ST071184,3+4
ST071185,3+4
ST071186,3+4
ST071187,3+4
ST071188,3+4
ST071189,3
ST072180,3
ST072181,3
ST072182,3
ST072183,3
ST072184,3
ST072185,3
ST072186,3
ST072187,3
ST072188,3
ST072189,3
ST073180,3
ST073181,3
ST073182,3
ST073183,3
ST073184,3
ST073185,3
ST073186,3
ST073187,3
ST073188,3
ST073189,3
ST074180,3
ST074181,3
ST074182,3
ST074183,3
ST074184,3
ST074185,3
ST074186,3
ST074187,3
ST074188,3
ST074189,3
ST075180,3
ST075181,3
ST075182,3
ST075183,3
ST075184,3
ST075185,3
ST075186,3
ST075187,3
ST075188,3
ST075189,3
ST076180,3
ST076181,3
ST076182,3
ST076183,3
ST076184,3
ST076185,3
ST076186,3
ST076187,3
ST076188,3
ST076189,3
ST077180,3
ST077181,3
ST077182,3
ST077183,3
ST077184,3
ST077185,3
ST077186,3
ST077187,3
ST077188,3
ST077189,3
ST078180,3
ST078181,3
ST078182,3
ST078183,3
ST078184,3
ST078185,3
ST078186,3
ST078187,3
ST078188,3
ST078189,3
ST079180,3
ST079181,3
ST079182,3
ST079183,3
ST079184,3
ST079185,3
ST079186,3
ST079187,3
ST079188,3
ST079189,3
ST0719,3+4+5
ST070190,3+4
ST070191,3+4
ST070192,3+4
ST070193,4
ST070194,4
ST070195,4
ST070196,4
ST070197,4
ST070198,4
ST070199,4
ST071190,3
ST071191,3
ST071192,3+4
ST071193,3+4
ST071194,3+4
ST071195,4
ST071196,4
ST071197,4
ST071198,4
ST071199,4
ST072190,3
ST072191,3
ST072192,3
ST072193,3
ST072194,3+4
ST072195,3+4
ST072196,4
ST072197,4
ST072198,4
ST072199,4
ST073190,3
ST073191,3
ST073192,3
ST073193,3
ST073194,3
ST073195,3+4
ST073196,3+4
ST073197,4
ST073198,4+5
ST073199,4+5
ST074190,3
ST074191,3
ST074192,3
ST074193,3
ST074194,3
ST074195,3
ST074196,3+4
ST074197,4
ST074198,4+5
ST074199,5
ST075190,3
ST075191,3
ST075192,3
ST075193,3
ST075194,3
ST075195,3
ST075196,3+4
ST075197,3+4
ST075198,4+5
ST075199,4+5
ST076190,3
ST076191,3
ST076192,3
ST076193,3
ST076194,3
ST076195,3
ST076196,3
ST076197,3+4+5
ST076198,4+5
ST076199,4+5
ST077190,3
ST077191,3
ST077192,3
ST077193,3
ST077194,3
ST077195,3
ST077196,3+5
ST077197,3+5
ST077198,5
ST077199,5
ST078190,3
ST078191,3
ST078192,3
ST078193,3
ST078194,3
ST078195,3+5
ST078196,3+5
ST078197,5
ST078198,5
ST078199,5
ST079190,3
ST079191,3
ST079192,3
ST079193,3
ST079194,3+5
ST079195,3+5
ST079196,5
ST079197,5
ST079198,5
ST079199,5
ST01V,3
ST01W,3
ST01X,3
ST01Y,3+5
ST0816,3
ST0817,3
ST0916,3
ST0917,3+5
ST090170,3
ST090171,3
ST090172,3
ST090173,3
ST090174,3
ST090175,3
ST090176,3
ST090177,3
ST090178,3
ST090179,3
ST091170,3
ST091171,3
ST091172,3
ST091173,3
ST091174,3
ST091175,3
ST091176,3
ST091177,3
ST091178,3
ST091179,3
ST092170,3
ST092171,3
ST092172,3
ST092173,3
ST092174,3
ST092175,3
ST092176,3
ST092177,3
ST092178,3
ST092179,3
ST093170,3
ST093171,3
ST093172,3
ST093173,3
ST093174,3
ST093175,3
ST093176,3
ST093177,3
ST093178,3
ST093179,3
ST094170,3
ST094171,3
ST094172,3
ST094173,3
ST094174,3
ST094175,3
ST094176,3
ST094177,3
ST094178,3
ST094179,3
ST095170,3
ST095171,3
ST095172,3
ST095173,3
ST095174,3
ST095175,3
ST095176,3
ST095177,3
ST095178,3
ST095179,3
ST096170,3
ST096171,3
