NX,0+70+71+72+73+74+75
NX0640,0
NX0641,0
NX0740,0
NX0741,0+74
NX070410,0
NX070411,0
NX070412,0
NX070413,0
NX070414,0
NX070415,0
NX070416,0
NX070417,0
NX070418,0
NX070419,0
NX071410,0
NX071411,0
NX071412,0
NX071413,0
NX071414,0
NX071415,0
NX071416,0
NX071417,0
NX071418,0
NX071419,0
NX072410,0
NX072411,0
NX072412,0
NX072413,0
NX072414,0
NX072415,0
NX072416,0
NX072417,0
NX072418,0
NX072419,0
NX073410,0
NX073411,0
NX073412,0
NX073413,0
NX073414,0
NX073415,0
NX073416,0
NX073417,0
NX073418,0
NX073419,0+74
NX074410,0
NX074411,0
NX074412,0
NX074413,0
NX074414,0
NX074415,0
NX074416,0
NX074417,0
NX074418,0+74
NX074419,0+74
NX075410,0
NX075411,0
NX075412,0
NX075413,0
NX075414,0
NX075415,0
NX075416,0
NX075417,0+74
NX075418,0+74
NX075419,74
NX076410,0
NX076411,0
NX076412,0
NX076413,0
NX076414,0
NX076415,0+74
NX076416,0+74
NX076417,0+74
NX076418,74
NX076419,74
NX077410,0
NX077411,0
NX077412,0
NX077413,0
NX077414,0
NX077415,0+74
NX077416,0+74
NX077417,74
NX077418,74
NX077419,74
NX078410,0
NX078411,0
NX078412,0
NX078413,0
NX078414,0
NX078415,0+74
NX078416,0+74
NX078417,74
NX078418,74
NX078419,74
NX079410,0
NX079411,0
NX079412,0
NX079413,0
NX079414,0
NX079415,0+74
NX079416,0+74
NX079417,74
NX079418,74
NX079419,74
NX04R,0+74
NX0642,0
NX0643,0+74
NX060430,0
NX060431,0
NX060432,0
NX060433,0
NX060434,0
NX060435,0
NX060436,0
NX060437,0
NX060438,0
NX060439,0
NX061430,0
NX061431,0
NX061432,0
NX061433,0
NX061434,0
NX061435,0
NX061436,0
NX061437,0
NX061438,0
NX061439,0
NX062430,0
NX062431,0
NX062432,0
NX062433,0
NX062434,0
NX062435,0
NX062436,0
NX062437,0
NX062438,0
NX062439,0
NX063430,0
NX063431,0
NX063432,0
NX063433,0
NX063434,0
NX063435,0
NX063436,0
NX063437,0
NX063438,0
NX063439,0
NX064430,0
NX064431,0
NX064432,0
NX064433,0
NX064434,0
NX064435,0
NX064436,0
NX064437,0
NX064438,0
NX064439,0
NX065430,0
NX065431,0
NX065432,0
NX065433,0
NX065434,0
NX065435,0
NX065436,0
NX065437,0
NX065438,0
NX065439,0
NX066430,0
NX066431,0
NX066432,0
NX066433,0
NX066434,0
NX066435,0
NX066436,0
NX066437,0
NX066438,0
NX066439,0
NX067430,0
NX067431,0
NX067432,0
NX067433,0
NX067434,0
NX067435,0
NX067436,0
NX067437,0
NX067438,0
NX067439,0
NX068430,0
NX068431,0
NX068432,0
NX068433,0
NX068434,0
NX068435,0
NX068436,0
NX068437,0
NX068438,0
NX068439,0
NX069430,0
NX069431,0
NX069432,0
NX069433,0
NX069434,0
NX069435,0
NX069436,0
NX069437,0
NX069438,0
NX069439,0+74
NX0742,0+74
NX070420,0
NX070421,0
NX070422,0
NX070423,0
NX070424,0
NX070425,0
NX070426,0
NX070427,0
NX070428,0
NX070429,0
NX071420,0
NX071421,0
NX071422,0
NX071423,0
NX071424,0
NX071425,0
NX071426,0
NX071427,0
NX071428,0
NX071429,0
NX072420,0
NX072421,0
NX072422,0
NX072423,0
NX072424,0
NX072425,0
NX072426,0
NX072427,0
NX072428,0
NX072429,0
NX073420,0
NX073421,0
NX073422,0
NX073423,0
NX073424,0
NX073425,0
NX073426,0
NX073427,0
NX073428,0
NX073429,0
NX074420,0+74
NX074421,0+74
NX074422,0+74
NX074423,0
NX074424,0
NX074425,0+74
NX074426,0
NX074427,0
NX074428,0
NX074429,0
NX075420,74
NX075421,0+74
NX075422,0+74
NX075423,0+74
NX075424,0+74
NX075425,0+74
NX075426,0+74
NX075427,0+74
NX075428,0
NX075429,0
NX076420,74
NX076421,74
NX076422,0+74
NX076423,74
NX076424,74
NX076425,74
NX076426,0+74
NX076427,0+74
NX076428,0+74
NX076429,0+74
NX077420,74
NX077421,74
NX077422,74
NX077423,74
NX077424,74
NX077425,74
NX077426,74
NX077427,74
NX077428,0+74
NX077429,74
NX078420,74
NX078421,74
NX078422,74
NX078423,74
NX078424,74
NX078425,74
NX078426,74
NX078427,74
