SW,0+1+2
SW394219,0
SW395210,0
SW395211,0
SW395212,0
SW395213,0
SW395214,0
SW395215,0
SW395216,0
SW395217,0
SW395218,0
SW395219,0
SW396210,0
SW396211,0
SW396212,0
SW396213,0
SW396214,0
SW396215,0
SW396216,0
SW396217,0
SW396218,0
SW396219,0+1
SW397210,0
SW397211,0
SW397212,0
SW397213,0
SW397214,0
SW397215,0
SW397216,0
SW397217,0
SW397218,0+1
SW397219,0+1
SW398210,0
SW398211,0
SW398212,0
SW398213,0
SW398214,0
SW398215,0
SW398216,0
SW398217,0
SW398218,0
SW398219,0+1
SW399210,0
SW399211,0
SW399212,0
SW399213,0
SW399214,0
SW399215,0
SW399216,0
SW399217,0
SW399218,0
SW399219,0
SW32W,0+1
SW3822,0+1
SW380220,1
SW380221,1
SW380222,1
SW380223,1
SW380224,1
SW380225,1
SW380226,1
SW380227,1
SW380228,1
SW380229,1
SW381220,1
SW381221,1
SW381222,1
SW381223,1
SW381224,1
SW381225,1
SW381226,1
SW381227,1
SW381228,1
SW381229,1
SW382220,1
SW382221,1
SW382222,1
SW382223,1
SW382224,1
SW382225,1
SW382226,1
SW382227,1
SW382228,1
SW382229,1
SW383220,1
SW383221,1
SW383222,1
SW383223,1
SW383224,1
