TG,0+25+27+28
TG022152,28
TG022153,28
TG022154,28
TG022155,28
TG022156,28
TG022157,28
TG022158,28
TG022159,28
TG023150,28
TG023151,28
TG023152,28
TG023153,28
TG023154,28
TG023155,28
TG023156,28
TG023157,28
TG023158,28
TG023159,28
TG024150,28
TG024151,28
TG024152,28
TG024153,28
TG024154,28
TG024155,28
TG024156,28
TG024157,28
TG024158,28
TG024159,28
TG025150,28
TG025151,28
TG025152,28
TG025153,28
TG025154,28
TG025155,28
TG025156,28
TG025157,28
TG025158,28
TG025159,28
TG026150,27+28
TG026151,27+28
TG026152,27+28
TG026153,27+28
TG026154,27+28
TG026155,27+28
TG026156,27+28
TG026157,27+28
TG026158,27+28
TG026159,27+28
TG027150,27+28
TG027151,27
TG027152,27
TG027153,27
TG027154,27
TG027155,27
TG027156,27
TG027157,27
TG027158,27
TG027159,27
TG028150,27
TG028151,27
TG028152,27
TG028153,27
TG028154,27
TG028155,27
TG028156,27
TG028157,27
TG028158,27
TG028159,27
TG029150,27
TG029151,27
TG029152,27
TG029153,27
TG029154,27
TG029155,27
TG029156,27
TG029157,27
TG029158,27
TG029159,27
TG0314,27
TG0315,27
TG01I,27+28
TG0216,27+28
TG020160,28
TG020161,28
TG020162,28
TG020163,28
TG020164,28
TG020165,28
TG020166,28
TG020167,28
TG020168,28
TG020169,28
TG021160,28
TG021161,28
TG021162,28
TG021163,28
TG021164,28
TG021165,28
TG021166,28
TG021167,28
TG021168,28
TG021169,28
TG022160,28
TG022161,28
TG022162,28
TG022163,28
TG022164,28
TG022165,28
TG022166,28
TG022167,28
TG022168,28
TG022169,28
TG023160,28
TG023161,28
TG023162,28
TG023163,28
TG023164,28
TG023165,28
TG023166,28
TG023167,28
TG023168,28
TG023169,28
TG024160,28
TG024161,28
TG024162,28
TG024163,28
TG024164,28
TG024165,28
TG024166,28
TG024167,28
TG024168,28
TG024169,28
TG025160,28
TG025161,28
TG025162,28
TG025163,28
TG025164,28
TG025165,28
TG025166,27+28
TG025167,27+28
TG025168,27+28
TG025169,27+28
TG026160,27+28
TG026161,27+28
TG026162,27+28
TG026163,27+28
TG026164,27+28
TG026165,27+28
TG026166,27+28
TG026167,27
TG026168,27
TG026169,27
TG027160,27
TG027161,27
TG027162,27
