SY,0+3+9
SY096852,3
SY096853,3
SY096854,3
SY096855,3
SY096856,3
SY096857,3
SY096858,3
SY096859,3
SY097850,0
SY097851,0+3
SY097852,3
SY097853,3
SY097854,3
SY097855,3
SY097856,3
SY097857,3
SY097858,3
SY097859,3
SY098850,0
SY098851,0+3
SY098852,0+3
SY098853,3
SY098854,3
SY098855,3
SY098856,3
SY098857,3
SY098858,3
SY098859,3
SY099850,0
SY099851,0
SY099852,0+3
SY099853,0+3
SY099854,0+3
SY099855,3
SY099856,3
SY099857,3
SY099858,3
SY099859,3
SY08Y,3
SY08Z,3
SY09,3
SY10,0
SY11,0
SY12,0
SY13,0
SY14,0
SY15,0
SY16,0
SY17,0
SY18,0+3
SY18SW,0
SY18NW,0+3
SY18SE,0
SY18NE,0+3
SY18A,0
SY18B,0
SY18C,0+3
SY1084,0
SY1085,0+3
