NY,0+65+66+67+68+69+70+72+73+80
NY00,0+70
NY00SW,0+70
NY00NW,0+70
NY026373,0
NY026374,0
NY026375,0
NY026376,0
NY026377,0
NY026378,0
NY026379,0
NY027370,0
NY027371,0
NY027372,0
NY027373,0
NY027374,0
NY027375,0
NY027376,0
NY027377,0
NY027378,0
NY027379,0
NY028370,0+70
NY028371,0
NY028372,0
NY028373,0
NY028374,0
NY028375,0
NY028376,0
NY028377,0
NY028378,0
NY028379,0
NY029370,0+70
NY029371,0+70
NY029372,0
NY029373,0
NY029374,0
NY029375,0
NY029376,0
NY029377,0
NY029378,0
NY029379,0
NY0336,0+70
NY030360,70
NY030361,70
NY030362,70
NY030363,70
NY030364,70
NY030365,70
NY030366,70
NY030367,0+70
NY030368,0+70
NY030369,70
NY031360,70
NY031361,70
NY031362,70
NY031363,70
NY031364,70
NY031365,70
NY031366,70
NY031367,0+70
NY031368,0+70
NY031369,70
NY032360,70
NY032361,70
NY032362,70
NY032363,70
NY032364,70
NY032365,70
NY032366,0+70
NY032367,0+70
NY032368,0+70
NY032369,70
NY033360,70
NY033361,70
NY033362,70
NY033363,70
NY033364,70
NY033365,0+70
NY033366,0+70
NY033367,0+70
NY033368,0+70
NY033369,70
NY034360,70
NY034361,70
NY034362,70
NY034363,70
NY034364,70
NY034365,0+70
NY034366,70
NY034367,70
NY034368,70
NY034369,70
NY035360,70
NY035361,70
NY035362,70
NY035363,70
NY035364,70
NY035365,70
NY035366,70
NY035367,70
NY035368,70
NY035369,70
NY036360,70
NY036361,70
NY036362,70
NY036363,70
NY036364,70
NY036365,70
NY036366,70
NY036367,70
NY036368,70
NY036369,70
NY037360,70
NY037361,70
NY037362,70
NY037363,70
NY037364,70
NY037365,70
NY037366,70
NY037367,70
NY037368,70
NY037369,70
NY038360,70
NY038361,70
NY038362,70
NY038363,70
NY038364,70
NY038365,70
NY038366,70
NY038367,70
NY038368,70
NY038369,70
NY039360,70
NY039361,70
NY039362,70
NY039363,70
NY039364,70
NY039365,70
NY039366,70
NY039367,70
NY039368,70
NY039369,70
NY0337,0+70
NY030370,70
NY030371,0+70
NY030372,0+70
NY030373,0
NY030374,0
NY030375,0
NY030376,0
NY030377,0
NY030378,0
NY030379,0
NY031370,70
NY031371,70
NY031372,0+70
NY031373,0+70
NY031374,0+70
NY031375,0
NY031376,0
NY031377,0
NY031378,0
NY031379,0
NY032370,70
NY032371,70
NY032372,70
